各位同學大家好,今天我們要上的內容是關於在漁業資源復育目前我們採行的一些方法,
我們主要是利用在漁苗的放流,並且進行後續的一些追蹤。
而且因為他的這個整個過程的方式,
執行的方式沒有受到很好的這個評估,
所以其實可能最後你透過左下角這個圖片上面看到,
他一桶一桶的魚最後被很多人傳遞到海裡面的時候,
一個是他的溫度已經上升了,
而且他的時間過久,
他的水裡面的氧氣太低,
所以有很多的狀況下,
其實我們最後看到反而是沒有成功的,
就是這些生物其實最後被我們放到自然環境裡面,
他是沒有辦法存活的,
那另外一個是因為很多的這些民眾,
或者是宗教團體,
他們可能沒有經過一個比較適合的評估,
所以他們在取得這些人工繁殖出來的這些生物的時候,
他其實並沒有去考量到說,
有些魚他其實不見得適合在一些特定的湖泊,
或者是河川,
或者是在不同的海域,
其實他有特定的一些不同生物,
他有原本棲息的棲地的這個特性,
那你如果把他放到一個不適合的溫度,
嚴度的環境裡面,
其實你把他放到水裡面,
最後他有可能就會是反而是會死掉,
那這樣子其實就沒有達到在宗教的目的上面的,
這個放生最後的這個目的了,
那所以其實漁業署有鑑於這樣子的一個,
人民的民眾的一些,
常常有一些錯誤的這些放生的行為,
所以其實在民國100年的時候,
其實當時漁業署就訂定了這個水產資源的,
增值放流的這個辦法跟一些規定,
那所以他其實是嚴格的規定在,
你要需要經過一些生物的健康狀況的評估,
而且這個棲地他的承載度的承載力的大小,
來評估他的釋放的個體的數量,
那另外有關於一些釋放的方法,
還有你要放進去的這個水域,
他的生態系是不是會影響到原本的,
就是放進去的個體會不會影響到,
原本的這個生物群聚的結構,
那其實都有一些規範,
希望大家在進行這個放生的時候,
其實是可以有更仔細的這個考量,
所以所有的這些放生的這些行為或者是活動,
其實不管是你是放哪一個物種,
都需要經過一個很嚴格的評估之後,
才能夠去釋放這些動物到自然的環境裡面去,
那所以後來呢,
其實也就在訂定了一些這個詳細的這些辦法跟規定,
那其實他會經過一些類似你要經過他的一些生物,
他沒有一些藥物的殘留,
而且他的健康環境,
而且你要經過這個地方縣市政府的一個同意之下,
你要得到這個許可,
那之後才能夠去釋放,
那可是說很多的這些活動,
可能沒有經過完全遵守這樣子的一個規範,
所以呢,
於是後來在這幾年又希望能夠再進入,
進到一個更進一步的一些不同的這個研究計畫,
來做研究調查,
那想要提供給民眾一些假設特定的魚種,
其實他在環境裡面是可以存活,
然後是真正的可以貢獻給自然的族群,
就是我們前面講到說,
他最後可以達到這個增殖放流的這樣的一個魚群的增殖的最後的一個目的,
其實在政府也開始去投入一些經費,
那他是委託在台灣的漁業永續發展協會,
他從2002年開始了,
一直每一年有去經過專家學者的討論之後,
然後會在特定的這個岸邊去釋放一些特定的物種,
那過去這幾年其實釋放的數量是非常的多的,
大概從二十幾種,
包含了二十幾種的這個魚種,
那總共放流的數量其實已經超過了一億多尾的這樣的一個個體,
那我們在表上面畫出來紅線標出來的這幾個物種,
其實是我們在放流的這個計畫裡面執行的數量是比較大的,
那其實前幾名大概就是像刺絲馬蜂,
就是我們平常在餐桌上吃到的這個蚵仔,
或者是像黑貂,
富士蒼生,
或者是這個英文低貂,
或者是這個黃錫貂跟黃錫貂,
那這幾種其實因為他在養殖,
人工繁殖的這個育苗的這個技術已經是非常的純熟了,
那他也是本來就在台灣周邊會有的物種,
所以其實在這幾種的育苗裡面,
我們其實是放流的數量是比較多的,
可是到底我們放了這麼多的魚,
他最後是有沒有多少的比例是真的有存活在海裡面的,
或者是說他可以繼續的長大,
長到其實最後可以在海裡面繁殖自然的族群,
那這個部分在過去是比較沒有去執行的,
所以其中一個主要的問題,
當然是因為我們可能在以前比較沒有辦法去正確的去分辨說,
到底我們放出去的這些人工培育的魚苗的個體跟野生的族群是怎麼樣去區分,
所以過去的幾年,
其實我們就開始執行一些比較大規模的這些標示放流的這樣的一個研究,
那希望能夠透過有標示這些放流的個體,
那持續的追蹤知道說他們之後被放到自然的環境裡面,
是會經過什麼樣的一個存活的狀況,
還有他的成長狀況跟野生的個體有沒有差別,
那這其實這當中當然會碰到一些不同的問題,
所以我們在實行這些大規模的放流之前說,
需要知道環境的一些特性,
或者是我們知道說到底在放流前哪些物種怎麼樣的體長,
在哪一個時間季節或地點是比較適合放流的,
那所以這個是在放流前所必須要去評估的這些不同的這些課題,
那放流之後當然就是我們要持續的去做追蹤,
那我們想要知道說他的魚體的這些分布的範圍,
他存活的比例,
他的成長,
還有繁殖的這個狀況,
那最後所以我們就會去評估說到底經過了放流這樣的一個活動或計畫之後,
他最後達到的一些生態經濟還有資源的相應到底是如何,
所以當然這個前提是你要能夠明確去判別說放流跟這個野生的個體,
那我們就必須要去補足過去缺乏的這些回收的,
放流後回收的這些樣本,
然後還有這個野生跟放流的個體辨識的方法的建立,
那另外還有一些比較完整的一個整個完整的統計的這個資料庫,
所以我們其實在我們系上還有這個可能在養殖系的有一些老師呢,
我們可能在過去幾年就參與了一個比較大規模,
想要比較有效率的有計畫的去評估說到底這幾年的這個放流的物種,
他最後的只達到的這樣的一個效益是怎樣,
所以第一步我說我們要先去建立說到底怎麼樣可以明確的去辨識是放流或者是這個野生的個體,
所以我們用了一個最開始計畫一開始的時候當然我們是用一個比較簡單的方法,
大概就是用一個體外的標示法,
那我們每一條放流的這個魚苗,
那圖上你看到這五種大概是我剛剛前面講到的一些主要的放流的物種,
那這些是我們在人工繁殖場是可以獲得比較大量的這些個體,
那我們在這些魚苗的體上呢,
去標示像右邊中間這個照片上面的這個塑膠的這個標籤,
那這個標籤上面我們還會去標示像是海洋大學放的,
就是 NTOU,
那每一個不同的批次,
那這個籤可以有不同的顏色,
所以我們可以去知道說我們是在哪一年哪一月哪一天在哪一個地方放了多少的,
第幾批號的這個魚,
那有利於後續的這些評估跟追蹤的利用,
那這個方法好處當然因為它的成本比較低,
然後它的成本一個大概不到一塊,
那操作上面可能是比較簡易比較方便的,
那我們也經過了一些養殖的試驗發現說,
魚苗經過標示之後其實它的存活率是可以到九成五以上,
而且它對後續的這些,
它的魚的游泳的這些行為沒有很明顯的這個影響,
所以我們就後續就利用這樣的一個方法,
去做了很多的這個標示的這個方式的這些計畫,
所以這個是在標示的過程,
那可以看到大概可能十公分左右大小的這樣的一個魚體,
那我們在經過這些人工可能,
因為這個就需要比較多的人力,
就因為它需要一尾一尾的去打上這樣的一個標籤,
那這些魚其實有經過了一些的這個輕微的麻醉,
所以它其實在我們在施作這個標示的過程的時候,
它就比較不會去,就是不會有太大的增長,
這樣它比較不會受傷,
那最後我們才讓它又在這個魚池裡面,
會再甦醒了一段時間之後,
那我們再觀察一週之後才會去進行放流,
那因為我們想要知道說我們放的魚到底有多少尾,
所以我們有利於後續在資源量的評估。
所以你可以看到它一條一條拉起來,
然後這將會大致停在池子裡面,
是真的在計算說它到底是我們要放的這些魚到底是幾尾,
所以它其實是會非常的花費這個人力跟時間,
因為它需要一尾一尾的去算。
喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔
喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔喔
痾...
好
那痾...
點收之後呢
其實我們大概就會經過
這個是我們前面所
痾...
進行的這些不同的步驟
那之後我們在放流的時候
就會把這些梯形標的這些魚體
那
把它
痾...
快速的施放到這個海洋裡面去
阿...
其實在施放的過程
阿...
不是一桶一桶放
就是大概用一個比較快一點的方法
讓它是可以大量的
很多很多的東西都進入到這個海域裡面去
這個是在漁港我們用捧放的方式
那最後你就會看到這些魚苗
其實你可以看到帶著這個顏色比較淺的
這個塑膠籤的這些魚苗
在這個港灣裡面或者是這個港口
廢棄的港口裡面
其實他們是能夠很迅速的
就是在這個自然的水體裡面能夠游泳
聚集群聚這樣子
那我剛剛講到的
其實是一個比較傳統的
這個標示的方法
所以我們把這個魚上面都標了這個標籤
那其實你就可以很容易去觀察說
這個魚是我們放的
那這樣的方式其實我們在跟漁民
或者是釣客做宣傳的時候
他們其實有看到會跟我們聯絡
願意跟我們聯絡
因為他們用肉眼就可以看得出來
那這樣子就有利於說
我們可以讓結合一些民眾
或者是釣客或者是這些漁民的這些力量
其實可以讓我們去做一個
比較大規模的回收的這樣的一個狀況
不過這幾年其實我們在做
其他的這些魚類的研究的時候
因為我們放了之後
其實也是要去追蹤它
後續的一些研究的
回遊的這樣的一個路線或者是行為
那我剛剛說過去
我們在做這些魚類回遊的方法
就是這個fish migration research method
那第一個就是我剛剛講到
其實我們都用這個traditional t tag
來做這種mark and recapture
就是做這個標示放流的這樣的一個計畫
那當然這個標示放流
我們做的是比較傳統的這個梯形簽
那現在當然也有一些用比較先進一點
比如說無線電的標籤
或者是衛星的標籤
那這個我等一下會舉一個例子
然後讓大家知道我們是怎麼執行的
那第二個部分
其實我這堂課的後面會跟大家講說
如果我們都不做這種人工的標示的動作
你要怎麼知道說
這個魚它在自然的環境裡面
它是會回遊到哪裡去
所以我們大概這幾年會用一些
像是比較是自然標示
自然標示就是nature tag
它其實是在魚體的本來的身體裡面的組織
或者是結構上面就帶有的這些
不管是在環境化學的這些訊號
那它會記錄在耳食
或者是平衡食這些
類似這樣的一些碳磚蓋的生物困壞的結晶
那第二個部分當然就會是
每一條魚其實它都有一個遺傳的訊息
就是記錄在它的DNA裡面
所以如果你能夠去分析魚體的這些DNA
其實你大概也是可以知道
它的爸爸媽媽到底是從人工繁殖的魚場來的
還是它是在自然界裡面的自然的族群
所以我們後面就先跟大家介紹一下說
我們在做這些回遊的研究的時候
過去是用這種傳統的標示的
mark and tagging的這個方法
那這個是我們類似我剛給大家看這個影片
就是我們可能用類似這種塑膠簽
直接打在像右下角的這個照片上的魚體
那可能打在比較靠近它的背鰭下面的這個肌肉
所以讓它是比較容易
比較不會影響到它的骨骼的發育
比較不會影響到它的游泳的這樣的一個行為
那當然你可以試不同的魚
它有一些不同的游泳的習性或者是特性
那可以選擇不同種類
或者是不同形狀的這個標籤
那最後一樣把它打在
或者是讓它能夠留在這個魚體上面
那你就會比較方便你後續的一些肉眼上面的觀察
或者是追蹤
那可是現在這幾年當然這個簽呢
其實你可以去結合一些比較小小的一些追蹤的技術
所以其實後來當然會有一些
像我們在用你們的學生證上面的這個悠遊卡
悠遊卡上面其實會有一個小小的這個RFID的這個晶片
那它可以記錄說你從捷運
你如果用這個來坐捷運或公車
你從哪一站上車
它會有個記錄
那你從哪一站下車
它用來計算你的這個車票的錢
所以它也可以透過這個不同的感應器
就是它就可以記錄
那一樣如果你把這個晶片放在這個魚體的這個標籤上
其實這個然後你在透過一些
你在河道或者海邊設了一些閘門
所以如果這個魚游經過這樣的一個地方
你也可以記錄下魚
它在哪一天幾點幾分的時候經過了這樣的一個位置
所以如果你能夠設到非常多的閘門
那其實你也是可以做一個很好的
這個魚的時間地點的這樣的一個回遊的追蹤
那它的成本可能高一點點
我剛剛說TTAG的錢可能不到一塊
那可是這個RFID現在可能根據它的這個感應的距離
好像悠遊卡你可能要是Touch到這個感應器
所以在捷運站的入口的閘門
你要去接觸到這個感應器才有辦法感應到
可是像我們在高速公路上車輛行駛的這個ETAG
那其實它也是一個RFID的晶片
可是它其實車子並沒有直接去接觸到這個閘門
所以它其實可能在幾十公
可能在十公尺以內它都還是可以感應得到的
那當然這個成本就會不同了
接觸的它的感應範圍比較短的
造價比較便宜
那如果它的感應範圍比較長的
當然它比較方便
可是它的這個價格可能就會比較貴一點
那我們就會試這個每一種魚
它的這個如果是淡水魚類
可能可以用這個感應範圍比較短的
這樣的一個RFID的種類
那如果是在海裡面的魚
你可能就要用一些比較長或短的這樣的一個晶片
那另外如果我們也可以透過另外一種方式
我剛剛說RFID是你要架一些固定式的這個偵測器
可是如果說這個魚其實
游來游去它的範圍不是你能夠掌握的
所以另外一個方式是我們用一個超音波的發射器
在它的魚的身上
那你在可能開一艘船
在不同的這個範圍內
可以去做掃射
你的這個感應器就可以是活動式的
那這樣子你就可以去偵測
更大範圍的這樣的一個移動
那這個圖片上的是日本在廣島灣
它其實也因為它會有很多的這些
黑貂的放流的這些計畫
所以它是用這個
把這個無線電的發射器綁在它的
一樣是在魚體的背上
那之後再透過這個接收器
去接收到底這個黑貂
它是在這個養殖牡蠣的這個範圍裡面
它主要都是在哪裡移動
那最後當然他們就可以知道說
在這個 horizontal movement
就是說它在這個水平的移動的範圍裡面
它就可以去追蹤到底
它的棲息
它游泳
它會不會游出這個範圍
那它游出的頻率跟之數
到底是多少
那這個也是在比較嚴禁岸的這個魚種
所利用的這些方式
那如果說像進一步
我們要探討的是說
如果是這種很大洋性的
回游性的這些魚類
像是我們可能在餐桌上
可能會吃到這個 bluefin tuna
就是黑鮪魚
那鮪魚它其實回游的範圍
是可以跨過整個大洋的
而且它游泳的速度很快
所以當然你要用一艘船去追著它
而且你要能夠掌握它的方向
是比較難的
所以呢
這幾年大概又有一種比較新式的
這種衛星的標籤
所以這是一條太平洋黑鮪魚
那這個是美國的研究學者
他們大概抓到它之後
讓它是維持還活著的狀態
那經過一些手術
可能在它的肚子這邊開一個洞
然後把這個 archival tape
就是這個衛星的標籤
把它塞在它的肚子裡面
那之後再用手術線把它縫起來
那小的傷口比較不會影響到它的存活
所以之後它還是可以維持是活的狀態
然後再被 release 到這個海洋裡面去
那這樣的標籤就更方便
因為其實它會定時的去釋放出這個訊號
所以你透過衛星的接收
你就可以在電腦前去追蹤說
到底這條魚經過了這個標示之後
它大概每天或是每隔幾個小時
它會回送它的訊號
那你就可以知道說
它到底是在哪一個時間點
是在什麼樣的經緯度底下去生活的
那這個是在他們發表的結果
就是他就發現說
過去的這個黑鮪魚的這個族群上面
這是在大西洋的這個西側
這邊是在美洲
那東側是在這個歐洲
那這兩個地方都有同樣的這個物種的存在
那我們透過這個衛星的標示之後就發現
有一些個體這個是在不同月份它的位置
有一些個體它是會穿過或跨過整個這個北大西洋
那進入到另外一個大陸的沿岸
那有一些會有這種跨洋式的這些回遊
可是有些個體它可能只有停留在美洲的這個東岸
或者是它只有停留在歐洲的這個沿岸
那我們就可以計算出它的不同回遊模式的這個個體的比例
那這個在後續一些漁業的管理上面
那我們要知道說到底這個魚可以抓多少的量
在不同的國家
那我們就可以透過這樣的一個時性
來做後續的資源量的評估
那在台灣其實我們也有做過
類似這樣的一個衛星標示的實驗
那這個是在照片上大家應該可以看得出來
應該說如果你們小時候有去過海生館
其實當時在這個大洋池裡面
可能還有機會可以看到這個圖片上的這個生物
就是金沙
那金沙是比較大型
但是它很溫和的一個大洋性的回遊的物種
那其實在台灣是它很重要的
因為我們在台灣的東岸或者是在澎湖
其實都還是可以看得到它的蹤影
所以其實我們也想要知道說
到底這個生物
它是利用台灣周邊的海域的頻率
還有它停留的時間是多少
所以這個是在我們系上的
有一個莊守正老師
他也有開設了在Trunkless上面
應該有一個開放的課程
就是他講了很多關於鯊魚的這些生態的知識
大家有興趣的話也可以上去找
就是應該是在教學中心的網頁上是可以找得到的
那莊老師他過去就協助了政府
在做這個金沙的資源的保育上
那過去我們不曉得說到底它在台灣的東部
它是一直留在這邊
那到底有多少的族群是會經過台灣東部的海域
所以漁業署也給過了一些這個經費
所以這是他的研究生
所以只要在東岸的這些定制網的漁民
他如果有不小心捕到了這個金沙
那他就會通知他們
那他的研究生其實就會到這個地方來去
第一個就是我們說到這個衛星的標籤
所以他會讓他在這個身體上去綁一個
第一個會做一個號碼
做一個這個傳統的標示
那另外他會去綁上一個衛星的標籤
所以我們就會知道說台灣東岸的這些金沙的個體
他在經過台灣
而且停留在台灣周邊海域的時間到底是多少
那這些資訊其實提供給後續
我們在一些這個漁業資源的管理上
就是這個whale shark conservation
他的一些資料的提供
以前可能你們小時候也不見得有吃過
就是以前可能在台灣的這些海產店
或者是漁市場
應該可以看得到這種照片上這種
比較白色的這種魚肉
他叫豆腐沙
因為他的肉質也比較很像豆腐
比較軟
那顏色也是白色的
那可是其實大家都知道
他其實長得很慢
所以他其實要長到這麼大
需要很久的時間
那他如果被我們捕上來
然後被我們就是吃掉之後
其實這個族群量有可能就會很快的就消失
因為他是成長比較慢的這樣的一個族群的個體
那另外一個是因為台灣其實曾經有在
台灣的東岸也有捕撈過
一尾是他已經懷孕的這個母的這個金沙
那表示說他經過台灣的時候
有可能是他的產卵場
就是他的孵育場
就是這個母的個體已經懷孕了
已經準備要生小的這個金沙了
那如果我們又在這個時候把他捕撈上岸
就他的肚子裡面這些小金沙
其實都沒有辦法存活
那這個就對這個資源
其實是一個非常大的傷害
所以慢慢的其實在經過
就是這個這些追蹤的這些研究之後
發現說其實台灣的東岸
真的是他很重要的一個在產卵
就是他生殖必經的一個路徑
所以其實透過這些生態研究的資訊
那慢慢的其實台灣就在從2007年
2001年的7月開始是建立說
需要如果你有捕撈到金沙
你需要通報
然後我們需要通知一些學術單位
像是我們學校
他就會去做一些生物學的資料的收集
然後用他的漁獲量來做一些統計
那之後我們就逐年的去規定說
一年只能捕撈多少隻
所以捕撈超過這個量的時候
他就不再允許捕撈了
那經過透過這樣每一年去逐年調
這樣這個漁獲的配額
那我們終於在2008年
這個就全面的進補這個金沙
所以台灣在金沙的保育上
是貢獻了很大的這些精力
因為其實我們規定說
其實我們就不能夠
就是捕到他其實是違法的
那希望我們不要去
再去過度的利用這些比較少量
比較瀕臨這個族群量比較少的
這些漁業的資源
那所以這些資訊其實
當然你不能說進補就進補
所以其實我們大概政府需要
透過一些不同的一些漁業的研究
或者是海洋的研究
那去了解這些生物之後
那知道說他的重要性在哪邊
然後才去針對他不同的特性
去訂定這些不同的保育的這些法則
那所以前面我們講到
我們說其實我們需要知道
去了解海裡面的這些生物
他的回遊的歷程
其實都是給我們在做一些
資源的保育或富裕上面
一個很重要的參考
那我們前面講到這些方法
其實都需要透過一些人工
或人為的這些標示
表示你要碰到這條魚
在活的時候的路徑
那你抓到他活的時候的狀態
那再經過不同的標籤去標示他
那你還要再經過另外一個考驗
就是你要能夠順利的去回收到他
你才有辦法獲得你的資料來分析
那可是這個等於說你能夠
有這樣的就是能夠抓到
又標示存活
然後最後又能夠回收
他的機率其實是蠻低的
所以其實我們在這幾年
也就開始想說
到底這個魚身上
有沒有其他的這些組織
可以供我們來了解
他過去經歷過的
什麼樣的一些歷程
就是說當做一個像飛機的黑盒子
這樣他能夠進入
他的生活史的過程裡面
他到底是經過什麼樣的環境
那所以其實這幾年
魚類學家就發現說
魚的身上其實有另外一個
蠻特別的組織
我們把它稱作是耳石
耳朵的耳這個石頭的石
那英文是這個autolys
所以我們怎麼樣這個
用這個autolys useful fish migration study
就是說怎麼樣把它用在
魚類的回遊史的研究上面
我們就後面會跟大家
做一些簡單的介紹
那到底耳石是什麼東西
我們怎麼樣從這些
fish autolys裡面去
確認他的migration secret
那先讓大家看一下說
到底什麼是耳石
這是耳石在這個魚的
這個腦的後端
就是他的三半規管中間
你可以看到
如果你把它放大來看
你可以看到
他會有三半規管相對應的
這個石囊
那在這個石囊裡面
大概會有淋巴液
那裡面其實會形成一個
碳酸鈣的結晶
就是你們看到這個
比較偏白色的
這樣的結晶
那所有的硬骨魚都有三對
這個是其中一側
所以他兩側對稱
他會有兩邊都有這個三半規管
那每一個三半規管裡面
就會有三顆耳石
所以這三顆耳石其實
也控制他的這個平衡的器官
所以如果說魚體不平衡
他可能耳石會壓測到
壓迫到某一側的這個
耳石囊的這個感覺細胞
那魚就會知道說
他其實是處在不平衡的狀態
那其實這很多生物都有
我們人類也有這樣的一個組織
也有這樣的一個結構
我們也有耳石
那只是我們的耳石的數量
跟我們的功能又更精細一點
那魚比較好玩
是因為他其實就這三對
而且他其實會
同樣這三對會
大小會長大
就是隨著魚體的成長
他其實也會等比例的來做成長
所以他其實可以紀錄說
他從小然後到大
然後一層一層的往上長
所以每一層就紀錄他當時的
生活的這個環境
那耳石到底是什麼
到底怎麼取出來的
那現在可以看到像紙之魚的時候
他還是還沒有變態成為成魚的狀態
其實他的其中兩對耳石就開始發育了
那在長大之後其實他的耳石就又更大
所以我們先用個影片讓大家來看一下說
到底耳石的位置
到底是在什麼地方
那先看這個是在小的魚
就是比較Lava的Fish上面
黃色圈起來是他的腦
他的這個腦的這個位置
那因為他很小
所以這個是在解剖顯微鏡底下
可能還利用探針來做解剖的動作
所以挑出來你可以看到
我剛說耳石是結晶
所以其實他會比較有點反光
反射的這個光線亮亮的這種感覺
所以你看到的白色其實都是魚的組織
他可能是他的腦或者是他的肌肉
那下面你可以看到好像有一個亮亮的結晶
他被挑出來了
其實這就是其中的一顆耳石
然後這是第二顆比較小
所以現在畫面上其實已經出現了兩對
一對比較大
然後一對是比較小的耳石
所以他是其中比較大這一對叫Sagittarius
然後第二對是Lapidus
就是一大一小的兩對的耳石
那耳石的結晶其實蠻有趣的
因為他會隨著魚體的成長
那所以你再把他放大來看的話
其實你就會看到
其實他有一個同心圓的結構存在
你可以看到
像顯微鏡底下你就會看到
那其實後來經過驗證
他其實是一天會形成一輪
因為他在可能白天射食
晚上不射食
所以他的一些有機成分跟碳酸鈣的比例會不同
那就造成了他會有這種日夜的週期
所以說耳石他其實可以記錄他的天
他的年齡
甚至他活了幾天
那剛剛看到的是小魚的狀態
那大的魚其實你們如果在餐桌上吃到魚
也可以試試看怎麼樣去把這個耳石取出來
所以頭蓋骨切開來
頭骨切開
那看到這個圈起來就是腦的位置
那你把腦的這個地方剝開來之後
其實耳石就在你的螢幕上
大概可以看得到了
所以這個就是其中一顆Sagittar
就是比較大的這一對的其中一顆
然後左右對稱
所以在另外一側
他其實也有另外一個耳石
所以成魚的
大魚的耳石其實滿肉眼就可以看得到
所以其實下次有機會
餐桌上如果整條魚的話
大家可以試試看
那每一種魚耳石的大小
還有他的形狀其實不太一樣的話
還滿有趣
好 那所以大的耳石
我們剛剛說小的耳石呢
他其實可以看到這種一輪一輪的是日週輪
一天會形成一輪
那當然比較年紀大的魚
他大概就會形成像樹的樹幹一樣
他會形成的是年輪
所以如果在小魚的耳石上面
我們把他放在顯微鏡底下
你就可以看到他是有這種
比較暗的地方是有機質的成分比較高
然後比較白色的部分
其實是這個碳酸鈣的含量是比較高的
所以他是經過日夜的這個新陳代謝
就是他的代謝疏離的差異
所以他最後會形成這個
Oculus Microstructure
或者是我們把他稱作他是叫
Belly Growth Increment
就是耳石上的這個DGI
那就可以記錄這些魚
他所生活的天數到底是幾天
那為什麼要耳石
其實我們要知道魚的年齡
其實大概像過去
可能在自然課裡面的實驗裡面會看到
像鱗片或者是脊椎骨
其實都會記錄他的一些魚的成長
那只是說因為其實鱗片有時候魚受傷
他裡面會掉
他會重新再長出來
那重新再長的這些再生鱗
他其實就沒有辦法記錄他
前面幾年的成長的這些訊號
那所以他其實有可能
你讀到的這個年紀是比較低估的
被你低估的
那另外是在骨骼
骨骼其實他如果在魚蛋生殖
或者是他其實有像
比較缺鈣的這個狀態下
其實他就不會長
所以其實這兩個組織上面
